isco08_3d,alpha,beta,zeta,gamma,n_isco08_4d,n_matched_4d,match_quality,soc_vintage
011,,,,,1,0,unmatched,SOC-2018 bridged to SOC-2010
021,0.166666666666667,0.458333333333333,0.625,0.75,2,1,partial,SOC-2018 bridged to SOC-2010
031,0.0217391304347826,0.290056360708535,0.311795491143317,0.558373590982287,2,2,full,SOC-2018 bridged to SOC-2010
111,0.211498470161011,0.458485229840729,0.66998370000174,0.705471989520446,4,4,full,SOC-2018 bridged to SOC-2010
112,0.120048019207683,0.369747899159664,0.489795918367347,0.619447779111645,1,1,full,SOC-2018 bridged to SOC-2010
121,0.156274083587862,0.450065269934196,0.606339353522058,0.743856456280529,4,4,full,SOC-2018 bridged to SOC-2010
122,0.182703081232493,0.48968253968254,0.672385620915033,0.796661998132586,3,3,full,SOC-2018 bridged to SOC-2010
131,0.1,0.233333333333333,0.333333333333333,0.366666666666667,2,2,full,SOC-2018 bridged to SOC-2010
132,0.160503216057884,0.40190593099001,0.562409147047894,0.643308645922137,4,4,full,SOC-2018 bridged to SOC-2010
133,0.294117647058824,0.558823529411765,0.852941176470588,0.823529411764706,1,1,full,SOC-2018 bridged to SOC-2010
134,0.195646832571109,0.427493687692468,0.623140520263578,0.659340542813827,7,7,full,SOC-2018 bridged to SOC-2010
141,0.232142857142857,0.401785714285714,0.633928571428571,0.571428571428571,2,2,full,SOC-2018 bridged to SOC-2010
142,0.117647058823529,0.382352941176471,0.5,0.647058823529412,1,1,full,SOC-2018 bridged to SOC-2010
143,0.182235019293759,0.414523460986225,0.596758480279984,0.646811902678692,2,2,full,SOC-2018 bridged to SOC-2010
211,0.338289969834088,0.517040388805095,0.842830358639182,0.695790807776102,4,4,full,SOC-2018 bridged to SOC-2010
212,0.421818181818182,0.682234848484849,0.921666666666667,0.942651515151515,1,1,full,SOC-2018 bridged to SOC-2010
213,0.316842623033917,0.537852042248759,0.800627520627521,0.7588614614636,3,3,full,SOC-2018 bridged to SOC-2010
214,0.209238421983168,0.447581470918105,0.656819892901273,0.685924519853042,7,7,full,SOC-2018 bridged to SOC-2010
215,0.192279942279942,0.411856661856662,0.604136604136604,0.631433381433381,3,3,full,SOC-2018 bridged to SOC-2010
216,0.13796077202811,0.447067024178092,0.585027796206202,0.756173276328075,6,6,full,SOC-2018 bridged to SOC-2010
221,0.180090421902767,0.354921150823815,0.535011572726582,0.529751879744863,2,2,full,SOC-2018 bridged to SOC-2010
222,0.0855121718868677,0.270295865034308,0.355808036921176,0.455079558181748,2,2,full,SOC-2018 bridged to SOC-2010
223,0.152777777777778,0.305555555555556,0.458333333333333,0.458333333333333,1,1,full,SOC-2018 bridged to SOC-2010
224,0,0.107142857142857,0.107142857142857,0.214285714285714,1,1,full,SOC-2018 bridged to SOC-2010
225,0.0434782608695652,0.217391304347826,0.260869565217391,0.391304347826087,1,1,full,SOC-2018 bridged to SOC-2010
226,0.171868283397889,0.328253897053239,0.500122180451128,0.48463951070859,8,8,full,SOC-2018 bridged to SOC-2010
231,0.273386560941498,0.476665978726698,0.74570471358124,0.679945396511899,1,1,full,SOC-2018 bridged to SOC-2010
232,0.160834147930922,0.374014336917563,0.534848484848485,0.587194525904203,1,1,full,SOC-2018 bridged to SOC-2010
233,0.15625,0.34375,0.5,0.53125,1,1,full,SOC-2018 bridged to SOC-2010
234,0.153443226508242,0.312902387128393,0.466345613636635,0.472361547748545,2,2,full,SOC-2018 bridged to SOC-2010
235,0.22373220003251,0.39741354706525,0.62114574709776,0.57109489409799,7,7,full,SOC-2018 bridged to SOC-2010
241,0.258569589451942,0.578417307093778,0.81714562670445,0.898265024735613,3,3,full,SOC-2018 bridged to SOC-2010
242,0.273941397692043,0.515579627784345,0.789521025476388,0.757217857876647,4,4,full,SOC-2018 bridged to SOC-2010
243,0.409697656840514,0.621188114134543,0.855538548752835,0.832678571428571,4,4,full,SOC-2018 bridged to SOC-2010
251,0.279822960143109,0.592671433037024,0.837200275533074,0.905519905930938,5,5,full,SOC-2018 bridged to SOC-2010
252,0.218359939561161,0.559428814654229,0.77778875421539,0.900497689747296,4,4,full,SOC-2018 bridged to SOC-2010
261,0.0986291486291486,0.383297258297258,0.481926406926407,0.667965367965368,3,3,full,SOC-2018 bridged to SOC-2010
262,0.257692307692308,0.508333333333333,0.766025641025641,0.758974358974359,2,2,full,SOC-2018 bridged to SOC-2010
263,0.295294806083417,0.479233249769391,0.758113914438667,0.663171693455365,6,6,full,SOC-2018 bridged to SOC-2010
264,0.516893019834196,0.689563704269587,0.996296296296296,0.862234388704977,3,3,full,SOC-2018 bridged to SOC-2010
265,0.169311595843984,0.310498810806982,0.475048501889061,0.45168602576998,7,7,full,SOC-2018 bridged to SOC-2010
311,0.127195833219384,0.343251337531229,0.470447170750613,0.559306841843074,9,9,full,SOC-2018 bridged to SOC-2010
312,0.0222222222222222,0.230555555555556,0.252777777777778,0.438888888888889,3,3,full,SOC-2018 bridged to SOC-2010
313,0.0220577485380117,0.160436692169387,0.182494440707398,0.298815635800762,6,6,full,SOC-2018 bridged to SOC-2010
314,0.146888990638991,0.328449328449328,0.475338319088319,0.510009666259666,3,3,full,SOC-2018 bridged to SOC-2010
315,0.0999122807017544,0.272073863342204,0.371986144043958,0.444235445982653,5,5,full,SOC-2018 bridged to SOC-2010
321,0.0985703767673077,0.225351620885508,0.323921997652816,0.352132865003709,4,4,full,SOC-2018 bridged to SOC-2010
322,0.0923409822866344,0.247171181274442,0.339512163561077,0.40200138026225,2,2,full,SOC-2018 bridged to SOC-2010
323,0.141203703703704,0.276951058201058,0.418154761904762,0.412698412698413,1,1,full,SOC-2018 bridged to SOC-2010
324,0.1036866359447,0.144009216589862,0.247695852534562,0.184331797235023,1,1,full,SOC-2018 bridged to SOC-2010
325,0.119096755574018,0.252866580433873,0.371963336007892,0.386636405293728,9,9,full,SOC-2018 bridged to SOC-2010
331,0.258296705865948,0.512764026821176,0.756738786517351,0.767231347776404,5,5,full,SOC-2018 bridged to SOC-2010
332,0.23099853710756,0.464666287833581,0.690730614414825,0.698334038559603,4,4,full,SOC-2018 bridged to SOC-2010
333,0.186407078386483,0.402035796677019,0.584157160777789,0.617664514967555,5,5,full,SOC-2018 bridged to SOC-2010
334,0.33198658381848,0.58197538811763,0.811689244663383,0.831964192416779,4,4,full,SOC-2018 bridged to SOC-2010
335,0.233946365951388,0.458350629125378,0.692296995076766,0.682754892299369,6,6,full,SOC-2018 bridged to SOC-2010
341,0.196813725490196,0.374242131062951,0.571055856553148,0.551670536635707,3,2,partial,SOC-2018 bridged to SOC-2010
342,0.118596071671856,0.19367137165293,0.312267443324786,0.268746671634005,3,3,full,SOC-2018 bridged to SOC-2010
343,0.0954459308700083,0.276161578238257,0.371607509108265,0.456877225606506,5,5,full,SOC-2018 bridged to SOC-2010
351,0.299755203085696,0.59468552517495,0.871003228260646,0.889615847264203,4,4,full,SOC-2018 bridged to SOC-2010
352,0.0817528735632184,0.285791256157635,0.367544129720854,0.489829638752053,2,2,full,SOC-2018 bridged to SOC-2010
411,0.25062656641604,0.486842105263158,0.737468671679198,0.723057644110276,1,1,full,SOC-2018 bridged to SOC-2010
412,0.40625,0.59375,1,0.78125,1,1,full,SOC-2018 bridged to SOC-2010
413,0.211111111111111,0.5,0.711111111111111,0.788888888888889,2,2,full,SOC-2018 bridged to SOC-2010
421,0.184884998931652,0.357377710749922,0.542262709681574,0.529870422568191,4,3,partial,SOC-2018 bridged to SOC-2010
422,0.3762979113429,0.558344281608842,0.887264960808885,0.740390651874785,8,8,full,SOC-2018 bridged to SOC-2010
431,0.235266554433221,0.482978395061728,0.696022727272727,0.730690235690236,3,3,full,SOC-2018 bridged to SOC-2010
432,0.238543809132044,0.488021999786706,0.713745296098237,0.737500190441367,3,3,full,SOC-2018 bridged to SOC-2010
